,Question,Abstract,Answer
72,What was written on the door of the disused lavatory where the notice about the bypass was displayed?,"11
know why - he just liked axes. He ﬂushed hotly under the derisive grins of the
bulldozer drivers.
He shifted his weight from foot to foot, but it was equally uncomfortable on
each. Obviously somebody had been appallingly incompetent and he hoped to
God it wasn’t him.
Mr. Prosser said:
- You were quite entitled to make any suggestions or protests at the appro-
priate time you know.
- Appropriate time? - hooted Arthur. - Appropriate time? The ﬁrst I knew
about it was when a workman arrived at my home yesterday. I asked him if he’d
come to clean the windows and he said no he’d come to demolish the house.
He didn’t tell me straight away of course. Oh no. First he wiped a couple of
windows and charged me a ﬁver. Then he told me.
- But Mr. Dent, the plans have been available in the local planning oﬃce
for the last nine month.
- Oh yes, well as soon as I heard I went straight round to see them, yesterday
afternoon. You hadn’t exactly gone out of your way to call attention to them
had you? I mean like actually telling anybody or anything.
- But the plans were on display...
- On display? I eventually had to go down to the cellar to ﬁnd them.
- That’s the display department.
- With a torch.
- Ah, well the lights had probably gone.
- So had the stairs.
- But look, you found the notice didn’t you?
- Yes, - said Arthur, - yes I did. It was on display in the bottom of a locked
ﬁling cabinet stuck in a disused lavatory with a sign on the door saying Beware
of the Leopard.
A cloud passed overhead. It cast a shadow over Arthur Dent as he lay
propped up on his elbow in the cold mud. It cast a shadow over Arthur Dent’s
house. Mr. Prosser frowned at it.
- It’s not as if it’s a particularly nice house, - he said.
- I’m sorry, but I happen to like it.
- You’ll like the bypass.
- Oh shut up, - said Arthur Dent. - Shut up and go away, and take your
bloody bypass with you. You haven’t got a leg to stand on and you know it.
Mr. Prosser’s mouth opened and closed a couple of times while his mind was
for a moment ﬁlled with inexplicable but terribly attractive visions of Arthur
Dent’s house being consumed with ﬁre and Arthur himself running screaming
from the blazing ruin with at least three hefty spears protruding from his back.
Mr. Prosser was often bothered with visions like these and they made him feel
very nervous. He stuttered for a moment and then pulled himself together.
- Mr. Dent, - he said.
- Hello? Yes? - said Arthur.
- Some factual information for you. Have you any idea how much damage
that bulldozer would suﬀer if I just let it roll straight over you?
- How much? - said Arthur.
- None at all, - said Mr. Prosser, and stormed nervously oﬀ wondering why
his brain was ﬁlled with a thousand hairy horsemen all shouting at him.","""Beware of the Leopard"""
73,How did Mr. Prosser react when Arthur Dent told him to go away and take the bypass with him?,"11
know why - he just liked axes. He ﬂushed hotly under the derisive grins of the
bulldozer drivers.
He shifted his weight from foot to foot, but it was equally uncomfortable on
each. Obviously somebody had been appallingly incompetent and he hoped to
God it wasn’t him.
Mr. Prosser said:
- You were quite entitled to make any suggestions or protests at the appro-
priate time you know.
- Appropriate time? - hooted Arthur. - Appropriate time? The ﬁrst I knew
about it was when a workman arrived at my home yesterday. I asked him if he’d
come to clean the windows and he said no he’d come to demolish the house.
He didn’t tell me straight away of course. Oh no. First he wiped a couple of
windows and charged me a ﬁver. Then he told me.
- But Mr. Dent, the plans have been available in the local planning oﬃce
for the last nine month.
- Oh yes, well as soon as I heard I went straight round to see them, yesterday
afternoon. You hadn’t exactly gone out of your way to call attention to them
had you? I mean like actually telling anybody or anything.
- But the plans were on display...
- On display? I eventually had to go down to the cellar to ﬁnd them.
- That’s the display department.
- With a torch.
- Ah, well the lights had probably gone.
- So had the stairs.
- But look, you found the notice didn’t you?
- Yes, - said Arthur, - yes I did. It was on display in the bottom of a locked
ﬁling cabinet stuck in a disused lavatory with a sign on the door saying Beware
of the Leopard.
A cloud passed overhead. It cast a shadow over Arthur Dent as he lay
propped up on his elbow in the cold mud. It cast a shadow over Arthur Dent’s
house. Mr. Prosser frowned at it.
- It’s not as if it’s a particularly nice house, - he said.
- I’m sorry, but I happen to like it.
- You’ll like the bypass.
- Oh shut up, - said Arthur Dent. - Shut up and go away, and take your
bloody bypass with you. You haven’t got a leg to stand on and you know it.
Mr. Prosser’s mouth opened and closed a couple of times while his mind was
for a moment ﬁlled with inexplicable but terribly attractive visions of Arthur
Dent’s house being consumed with ﬁre and Arthur himself running screaming
from the blazing ruin with at least three hefty spears protruding from his back.
Mr. Prosser was often bothered with visions like these and they made him feel
very nervous. He stuttered for a moment and then pulled himself together.
- Mr. Dent, - he said.
- Hello? Yes? - said Arthur.
- Some factual information for you. Have you any idea how much damage
that bulldozer would suﬀer if I just let it roll straight over you?
- How much? - said Arthur.
- None at all, - said Mr. Prosser, and stormed nervously oﬀ wondering why
his brain was ﬁlled with a thousand hairy horsemen all shouting at him.",Mr. Prosser's mouth opened and closed a couple of times while his mind was filled with inexplicable but terribly attractive visions of Arthur Dent’s house being consumed with fire and Arthur himself running screaming from the blazing ruin with at least three hefty spears protruding from his back. Mr. Prosser was often bothered with visions like these and they made him feel very nervous. He stuttered for a moment and then pulled himself together.
74,What did Mr. Prosser envision happening to Arthur Dent's house?,"11
know why - he just liked axes. He ﬂushed hotly under the derisive grins of the
bulldozer drivers.
He shifted his weight from foot to foot, but it was equally uncomfortable on
each. Obviously somebody had been appallingly incompetent and he hoped to
God it wasn’t him.
Mr. Prosser said:
- You were quite entitled to make any suggestions or protests at the appro-
priate time you know.
- Appropriate time? - hooted Arthur. - Appropriate time? The ﬁrst I knew
about it was when a workman arrived at my home yesterday. I asked him if he’d
come to clean the windows and he said no he’d come to demolish the house.
He didn’t tell me straight away of course. Oh no. First he wiped a couple of
windows and charged me a ﬁver. Then he told me.
- But Mr. Dent, the plans have been available in the local planning oﬃce
for the last nine month.
- Oh yes, well as soon as I heard I went straight round to see them, yesterday
afternoon. You hadn’t exactly gone out of your way to call attention to them
had you? I mean like actually telling anybody or anything.
- But the plans were on display...
- On display? I eventually had to go down to the cellar to ﬁnd them.
- That’s the display department.
- With a torch.
- Ah, well the lights had probably gone.
- So had the stairs.
- But look, you found the notice didn’t you?
- Yes, - said Arthur, - yes I did. It was on display in the bottom of a locked
ﬁling cabinet stuck in a disused lavatory with a sign on the door saying Beware
of the Leopard.
A cloud passed overhead. It cast a shadow over Arthur Dent as he lay
propped up on his elbow in the cold mud. It cast a shadow over Arthur Dent’s
house. Mr. Prosser frowned at it.
- It’s not as if it’s a particularly nice house, - he said.
- I’m sorry, but I happen to like it.
- You’ll like the bypass.
- Oh shut up, - said Arthur Dent. - Shut up and go away, and take your
bloody bypass with you. You haven’t got a leg to stand on and you know it.
Mr. Prosser’s mouth opened and closed a couple of times while his mind was
for a moment ﬁlled with inexplicable but terribly attractive visions of Arthur
Dent’s house being consumed with ﬁre and Arthur himself running screaming
from the blazing ruin with at least three hefty spears protruding from his back.
Mr. Prosser was often bothered with visions like these and they made him feel
very nervous. He stuttered for a moment and then pulled himself together.
- Mr. Dent, - he said.
- Hello? Yes? - said Arthur.
- Some factual information for you. Have you any idea how much damage
that bulldozer would suﬀer if I just let it roll straight over you?
- How much? - said Arthur.
- None at all, - said Mr. Prosser, and stormed nervously oﬀ wondering why
his brain was ﬁlled with a thousand hairy horsemen all shouting at him.",Mr. Prosser envisioned Arthur Dent's house being consumed with fire and Arthur himself running screaming from the blazing ruin with at least three hefty spears protruding from his back.
75,How did Mr. Prosser threaten Arthur Dent when he asked if he knew how much damage the bulldozer would suffer if it rolled over him?,"11
know why - he just liked axes. He ﬂushed hotly under the derisive grins of the
bulldozer drivers.
He shifted his weight from foot to foot, but it was equally uncomfortable on
each. Obviously somebody had been appallingly incompetent and he hoped to
God it wasn’t him.
Mr. Prosser said:
- You were quite entitled to make any suggestions or protests at the appro-
priate time you know.
- Appropriate time? - hooted Arthur. - Appropriate time? The ﬁrst I knew
about it was when a workman arrived at my home yesterday. I asked him if he’d
come to clean the windows and he said no he’d come to demolish the house.
He didn’t tell me straight away of course. Oh no. First he wiped a couple of
windows and charged me a ﬁver. Then he told me.
- But Mr. Dent, the plans have been available in the local planning oﬃce
for the last nine month.
- Oh yes, well as soon as I heard I went straight round to see them, yesterday
afternoon. You hadn’t exactly gone out of your way to call attention to them
had you? I mean like actually telling anybody or anything.
- But the plans were on display...
- On display? I eventually had to go down to the cellar to ﬁnd them.
- That’s the display department.
- With a torch.
- Ah, well the lights had probably gone.
- So had the stairs.
- But look, you found the notice didn’t you?
- Yes, - said Arthur, - yes I did. It was on display in the bottom of a locked
ﬁling cabinet stuck in a disused lavatory with a sign on the door saying Beware
of the Leopard.
A cloud passed overhead. It cast a shadow over Arthur Dent as he lay
propped up on his elbow in the cold mud. It cast a shadow over Arthur Dent’s
house. Mr. Prosser frowned at it.
- It’s not as if it’s a particularly nice house, - he said.
- I’m sorry, but I happen to like it.
- You’ll like the bypass.
- Oh shut up, - said Arthur Dent. - Shut up and go away, and take your
bloody bypass with you. You haven’t got a leg to stand on and you know it.
Mr. Prosser’s mouth opened and closed a couple of times while his mind was
for a moment ﬁlled with inexplicable but terribly attractive visions of Arthur
Dent’s house being consumed with ﬁre and Arthur himself running screaming
from the blazing ruin with at least three hefty spears protruding from his back.
Mr. Prosser was often bothered with visions like these and they made him feel
very nervous. He stuttered for a moment and then pulled himself together.
- Mr. Dent, - he said.
- Hello? Yes? - said Arthur.
- Some factual information for you. Have you any idea how much damage
that bulldozer would suﬀer if I just let it roll straight over you?
- How much? - said Arthur.
- None at all, - said Mr. Prosser, and stormed nervously oﬀ wondering why
his brain was ﬁlled with a thousand hairy horsemen all shouting at him.","Mr. Prosser threatened Arthur Dent by asking if he knew how much damage the bulldozer would suffer if it rolled over him, to which Arthur responded with ""How much?"" and Mr. Prosser replied, ""None at all."""
76,What made Mr. Prosser feel nervous and stutter for a moment?,"11
know why - he just liked axes. He ﬂushed hotly under the derisive grins of the
bulldozer drivers.
He shifted his weight from foot to foot, but it was equally uncomfortable on
each. Obviously somebody had been appallingly incompetent and he hoped to
God it wasn’t him.
Mr. Prosser said:
- You were quite entitled to make any suggestions or protests at the appro-
priate time you know.
- Appropriate time? - hooted Arthur. - Appropriate time? The ﬁrst I knew
about it was when a workman arrived at my home yesterday. I asked him if he’d
come to clean the windows and he said no he’d come to demolish the house.
He didn’t tell me straight away of course. Oh no. First he wiped a couple of
windows and charged me a ﬁver. Then he told me.
- But Mr. Dent, the plans have been available in the local planning oﬃce
for the last nine month.
- Oh yes, well as soon as I heard I went straight round to see them, yesterday
afternoon. You hadn’t exactly gone out of your way to call attention to them
had you? I mean like actually telling anybody or anything.
- But the plans were on display...
- On display? I eventually had to go down to the cellar to ﬁnd them.
- That’s the display department.
- With a torch.
- Ah, well the lights had probably gone.
- So had the stairs.
- But look, you found the notice didn’t you?
- Yes, - said Arthur, - yes I did. It was on display in the bottom of a locked
ﬁling cabinet stuck in a disused lavatory with a sign on the door saying Beware
of the Leopard.
A cloud passed overhead. It cast a shadow over Arthur Dent as he lay
propped up on his elbow in the cold mud. It cast a shadow over Arthur Dent’s
house. Mr. Prosser frowned at it.
- It’s not as if it’s a particularly nice house, - he said.
- I’m sorry, but I happen to like it.
- You’ll like the bypass.
- Oh shut up, - said Arthur Dent. - Shut up and go away, and take your
bloody bypass with you. You haven’t got a leg to stand on and you know it.
Mr. Prosser’s mouth opened and closed a couple of times while his mind was
for a moment ﬁlled with inexplicable but terribly attractive visions of Arthur
Dent’s house being consumed with ﬁre and Arthur himself running screaming
from the blazing ruin with at least three hefty spears protruding from his back.
Mr. Prosser was often bothered with visions like these and they made him feel
very nervous. He stuttered for a moment and then pulled himself together.
- Mr. Dent, - he said.
- Hello? Yes? - said Arthur.
- Some factual information for you. Have you any idea how much damage
that bulldozer would suﬀer if I just let it roll straight over you?
- How much? - said Arthur.
- None at all, - said Mr. Prosser, and stormed nervously oﬀ wondering why
his brain was ﬁlled with a thousand hairy horsemen all shouting at him.",Mr. Prosser felt nervous and stuttered for a moment because he was bothered by inexplicable but terribly attractive visions of Arthur Dent's house being consumed with fire and Arthur himself running screaming from the blazing ruin with at least three hefty spears protruding from his back.
77,How did Arthur Dent respond when Mr. Prosser asked him if he knew how much damage the bulldozer would suffer if it rolled over him?,"11
know why - he just liked axes. He ﬂushed hotly under the derisive grins of the
bulldozer drivers.
He shifted his weight from foot to foot, but it was equally uncomfortable on
each. Obviously somebody had been appallingly incompetent and he hoped to
God it wasn’t him.
Mr. Prosser said:
- You were quite entitled to make any suggestions or protests at the appro-
priate time you know.
- Appropriate time? - hooted Arthur. - Appropriate time? The ﬁrst I knew
about it was when a workman arrived at my home yesterday. I asked him if he’d
come to clean the windows and he said no he’d come to demolish the house.
He didn’t tell me straight away of course. Oh no. First he wiped a couple of
windows and charged me a ﬁver. Then he told me.
- But Mr. Dent, the plans have been available in the local planning oﬃce
for the last nine month.
- Oh yes, well as soon as I heard I went straight round to see them, yesterday
afternoon. You hadn’t exactly gone out of your way to call attention to them
had you? I mean like actually telling anybody or anything.
- But the plans were on display...
- On display? I eventually had to go down to the cellar to ﬁnd them.
- That’s the display department.
- With a torch.
- Ah, well the lights had probably gone.
- So had the stairs.
- But look, you found the notice didn’t you?
- Yes, - said Arthur, - yes I did. It was on display in the bottom of a locked
ﬁling cabinet stuck in a disused lavatory with a sign on the door saying Beware
of the Leopard.
A cloud passed overhead. It cast a shadow over Arthur Dent as he lay
propped up on his elbow in the cold mud. It cast a shadow over Arthur Dent’s
house. Mr. Prosser frowned at it.
- It’s not as if it’s a particularly nice house, - he said.
- I’m sorry, but I happen to like it.
- You’ll like the bypass.
- Oh shut up, - said Arthur Dent. - Shut up and go away, and take your
bloody bypass with you. You haven’t got a leg to stand on and you know it.
Mr. Prosser’s mouth opened and closed a couple of times while his mind was
for a moment ﬁlled with inexplicable but terribly attractive visions of Arthur
Dent’s house being consumed with ﬁre and Arthur himself running screaming
from the blazing ruin with at least three hefty spears protruding from his back.
Mr. Prosser was often bothered with visions like these and they made him feel
very nervous. He stuttered for a moment and then pulled himself together.
- Mr. Dent, - he said.
- Hello? Yes? - said Arthur.
- Some factual information for you. Have you any idea how much damage
that bulldozer would suﬀer if I just let it roll straight over you?
- How much? - said Arthur.
- None at all, - said Mr. Prosser, and stormed nervously oﬀ wondering why
his brain was ﬁlled with a thousand hairy horsemen all shouting at him.",Arthur Dent responded by asking Mr. Prosser how much damage the bulldozer would suffer if it rolled over him. Mr. Prosser then replied that the bulldozer would suffer none at all.
78,What were some of the challenges faced by Arthur Dent in dealing with the situation regarding his house and the bypass?,"11
know why - he just liked axes. He ﬂushed hotly under the derisive grins of the
bulldozer drivers.
He shifted his weight from foot to foot, but it was equally uncomfortable on
each. Obviously somebody had been appallingly incompetent and he hoped to
God it wasn’t him.
Mr. Prosser said:
- You were quite entitled to make any suggestions or protests at the appro-
priate time you know.
- Appropriate time? - hooted Arthur. - Appropriate time? The ﬁrst I knew
about it was when a workman arrived at my home yesterday. I asked him if he’d
come to clean the windows and he said no he’d come to demolish the house.
He didn’t tell me straight away of course. Oh no. First he wiped a couple of
windows and charged me a ﬁver. Then he told me.
- But Mr. Dent, the plans have been available in the local planning oﬃce
for the last nine month.
- Oh yes, well as soon as I heard I went straight round to see them, yesterday
afternoon. You hadn’t exactly gone out of your way to call attention to them
had you? I mean like actually telling anybody or anything.
- But the plans were on display...
- On display? I eventually had to go down to the cellar to ﬁnd them.
- That’s the display department.
- With a torch.
- Ah, well the lights had probably gone.
- So had the stairs.
- But look, you found the notice didn’t you?
- Yes, - said Arthur, - yes I did. It was on display in the bottom of a locked
ﬁling cabinet stuck in a disused lavatory with a sign on the door saying Beware
of the Leopard.
A cloud passed overhead. It cast a shadow over Arthur Dent as he lay
propped up on his elbow in the cold mud. It cast a shadow over Arthur Dent’s
house. Mr. Prosser frowned at it.
- It’s not as if it’s a particularly nice house, - he said.
- I’m sorry, but I happen to like it.
- You’ll like the bypass.
- Oh shut up, - said Arthur Dent. - Shut up and go away, and take your
bloody bypass with you. You haven’t got a leg to stand on and you know it.
Mr. Prosser’s mouth opened and closed a couple of times while his mind was
for a moment ﬁlled with inexplicable but terribly attractive visions of Arthur
Dent’s house being consumed with ﬁre and Arthur himself running screaming
from the blazing ruin with at least three hefty spears protruding from his back.
Mr. Prosser was often bothered with visions like these and they made him feel
very nervous. He stuttered for a moment and then pulled himself together.
- Mr. Dent, - he said.
- Hello? Yes? - said Arthur.
- Some factual information for you. Have you any idea how much damage
that bulldozer would suﬀer if I just let it roll straight over you?
- How much? - said Arthur.
- None at all, - said Mr. Prosser, and stormed nervously oﬀ wondering why
his brain was ﬁlled with a thousand hairy horsemen all shouting at him.","Some of the challenges faced by Arthur Dent in dealing with the situation regarding his house and the bypass included not being informed about the demolition plans, difficulty in finding the plans which were hidden in a locked filing cabinet in a disused lavatory, and facing off against Mr. Prosser who was determined to proceed with the bypass construction."
79,What was the name chosen by Ford Prefect to blend into Earth society?,"12 CHAPTER 1.
By a curious coincidence, None at all is exactly how much suspicion the ape-
descendant Arthur Dent had that one of his closest friends was not descended
from an ape, but was in fact from a small planet in the vicinity of Betelgeuse
and not from Guildford as he usually claimed.
Arthur Dent had never, ever suspected this.
This friend of his had ﬁrst arrived on the planet some ﬁfteen Earth years
previously, and he had worked hard to blend himself into Earth society - with,
it must be said, some success. For instance he had spent those ﬁfteen years
pretending to be an out of work actor, which was plausible enough.
He had made one careless blunder though, because he had skimped a bit
on his preparatory research. The information he had gathered had led him to
choose the name ”Ford Prefect” as being nicely inconspicuous.
He was not conspicuously tall, his features were striking but not conspicu-
ously handsome. His hair was wiry and gingerish and brushed backwards from
the temples. His skin seemed to be pulled backwards from the nose. There
was something very slightly odd about him, but it was diﬃcult to say what
it was. Perhaps it was that his eyes didn’t blink often enough and when you
talked to him for any length of time your eyes began involuntarily to water on
his behalf. Perhaps it was that he smiled slightly too broadly and gave people
the unnerving impression that he was about to go for their neck.
He struck most of the friends he had made on Earth as an eccentric, but
a harmless one - an unruly boozer with some oddish habits. For instance he
would often gatecrash university parties, get badly drunk and start making fun
of any astrophysicist he could ﬁnd till he got thrown out.
Sometimes he would get seized with oddly distracted moods and stare into
the sky as if hypnotized until someone asked him what he was doing. Then he
would start guiltily for a moment, relax and grin.
- Oh, just looking for ﬂying saucers, - he would joke and everyone would
laugh and ask him what sort of ﬂying saucers he was looking for.
- Green ones! - he would reply with a wicked grin, laugh wildly for a moment
and then suddenly lunge for the nearest bar and buy an enormous round of
drinks.
Evenings like this usually ended badly. Ford would get out of his skull on
whisky, huddle into a corner with some girl and explain to her in slurred phrases
that honestly the colour of the ﬂying saucers didn’t matter that much really.
Thereafter, staggering semi-paralytic down the night streets he would often
ask passing policemen if they knew the way to Betelgeuse. The policemen would
usually say something like:
- Don’t you think it’s about time you went oﬀ home sir?
- I’m trying to baby, I’m trying to, - is what Ford invariably replied on these
occasions.
In fact what he was really looking out for when he stared distractedly into
the night sky was any kind of ﬂying saucer at all. The reason he said green was
that green was the traditional space livery of the Betelgeuse trading scouts.
Ford Prefect was desperate that any ﬂying saucer at all would arrive soon
because ﬁfteen years was a long time to get stranded anywhere, particularly
somewhere as mindboggingly dull as the Earth.
Ford wished that a ﬂying saucer would arrive soon because he knew how
to ﬂag ﬂying saucers down and get lifts from them. He knew how to see the
Marvels of the Universe for less than thirty Altairan dollars a day.","The name chosen by Ford Prefect to blend into Earth society was ""Ford Prefect."""
80,Describe Ford Prefect's physical appearance and the peculiarities that made him slightly odd.,"12 CHAPTER 1.
By a curious coincidence, None at all is exactly how much suspicion the ape-
descendant Arthur Dent had that one of his closest friends was not descended
from an ape, but was in fact from a small planet in the vicinity of Betelgeuse
and not from Guildford as he usually claimed.
Arthur Dent had never, ever suspected this.
This friend of his had ﬁrst arrived on the planet some ﬁfteen Earth years
previously, and he had worked hard to blend himself into Earth society - with,
it must be said, some success. For instance he had spent those ﬁfteen years
pretending to be an out of work actor, which was plausible enough.
He had made one careless blunder though, because he had skimped a bit
on his preparatory research. The information he had gathered had led him to
choose the name ”Ford Prefect” as being nicely inconspicuous.
He was not conspicuously tall, his features were striking but not conspicu-
ously handsome. His hair was wiry and gingerish and brushed backwards from
the temples. His skin seemed to be pulled backwards from the nose. There
was something very slightly odd about him, but it was diﬃcult to say what
it was. Perhaps it was that his eyes didn’t blink often enough and when you
talked to him for any length of time your eyes began involuntarily to water on
his behalf. Perhaps it was that he smiled slightly too broadly and gave people
the unnerving impression that he was about to go for their neck.
He struck most of the friends he had made on Earth as an eccentric, but
a harmless one - an unruly boozer with some oddish habits. For instance he
would often gatecrash university parties, get badly drunk and start making fun
of any astrophysicist he could ﬁnd till he got thrown out.
Sometimes he would get seized with oddly distracted moods and stare into
the sky as if hypnotized until someone asked him what he was doing. Then he
would start guiltily for a moment, relax and grin.
- Oh, just looking for ﬂying saucers, - he would joke and everyone would
laugh and ask him what sort of ﬂying saucers he was looking for.
- Green ones! - he would reply with a wicked grin, laugh wildly for a moment
and then suddenly lunge for the nearest bar and buy an enormous round of
drinks.
Evenings like this usually ended badly. Ford would get out of his skull on
whisky, huddle into a corner with some girl and explain to her in slurred phrases
that honestly the colour of the ﬂying saucers didn’t matter that much really.
Thereafter, staggering semi-paralytic down the night streets he would often
ask passing policemen if they knew the way to Betelgeuse. The policemen would
usually say something like:
- Don’t you think it’s about time you went oﬀ home sir?
- I’m trying to baby, I’m trying to, - is what Ford invariably replied on these
occasions.
In fact what he was really looking out for when he stared distractedly into
the night sky was any kind of ﬂying saucer at all. The reason he said green was
that green was the traditional space livery of the Betelgeuse trading scouts.
Ford Prefect was desperate that any ﬂying saucer at all would arrive soon
because ﬁfteen years was a long time to get stranded anywhere, particularly
somewhere as mindboggingly dull as the Earth.
Ford wished that a ﬂying saucer would arrive soon because he knew how
to ﬂag ﬂying saucers down and get lifts from them. He knew how to see the
Marvels of the Universe for less than thirty Altairan dollars a day.","Ford Prefect is described as not conspicuously tall, with striking but not conspicuously handsome features. His hair is wiry and gingerish, brushed backwards from the temples. His skin appears to be pulled backwards from the nose. Some peculiarities that make him slightly odd include his eyes not blinking often enough, giving the impression that he is about to go for someone's neck, and smiling slightly too broadly."
81,How did Ford Prefect typically behave at university parties?,"12 CHAPTER 1.
By a curious coincidence, None at all is exactly how much suspicion the ape-
descendant Arthur Dent had that one of his closest friends was not descended
from an ape, but was in fact from a small planet in the vicinity of Betelgeuse
and not from Guildford as he usually claimed.
Arthur Dent had never, ever suspected this.
This friend of his had ﬁrst arrived on the planet some ﬁfteen Earth years
previously, and he had worked hard to blend himself into Earth society - with,
it must be said, some success. For instance he had spent those ﬁfteen years
pretending to be an out of work actor, which was plausible enough.
He had made one careless blunder though, because he had skimped a bit
on his preparatory research. The information he had gathered had led him to
choose the name ”Ford Prefect” as being nicely inconspicuous.
He was not conspicuously tall, his features were striking but not conspicu-
ously handsome. His hair was wiry and gingerish and brushed backwards from
the temples. His skin seemed to be pulled backwards from the nose. There
was something very slightly odd about him, but it was diﬃcult to say what
it was. Perhaps it was that his eyes didn’t blink often enough and when you
talked to him for any length of time your eyes began involuntarily to water on
his behalf. Perhaps it was that he smiled slightly too broadly and gave people
the unnerving impression that he was about to go for their neck.
He struck most of the friends he had made on Earth as an eccentric, but
a harmless one - an unruly boozer with some oddish habits. For instance he
would often gatecrash university parties, get badly drunk and start making fun
of any astrophysicist he could ﬁnd till he got thrown out.
Sometimes he would get seized with oddly distracted moods and stare into
the sky as if hypnotized until someone asked him what he was doing. Then he
would start guiltily for a moment, relax and grin.
- Oh, just looking for ﬂying saucers, - he would joke and everyone would
laugh and ask him what sort of ﬂying saucers he was looking for.
- Green ones! - he would reply with a wicked grin, laugh wildly for a moment
and then suddenly lunge for the nearest bar and buy an enormous round of
drinks.
Evenings like this usually ended badly. Ford would get out of his skull on
whisky, huddle into a corner with some girl and explain to her in slurred phrases
that honestly the colour of the ﬂying saucers didn’t matter that much really.
Thereafter, staggering semi-paralytic down the night streets he would often
ask passing policemen if they knew the way to Betelgeuse. The policemen would
usually say something like:
- Don’t you think it’s about time you went oﬀ home sir?
- I’m trying to baby, I’m trying to, - is what Ford invariably replied on these
occasions.
In fact what he was really looking out for when he stared distractedly into
the night sky was any kind of ﬂying saucer at all. The reason he said green was
that green was the traditional space livery of the Betelgeuse trading scouts.
Ford Prefect was desperate that any ﬂying saucer at all would arrive soon
because ﬁfteen years was a long time to get stranded anywhere, particularly
somewhere as mindboggingly dull as the Earth.
Ford wished that a ﬂying saucer would arrive soon because he knew how
to ﬂag ﬂying saucers down and get lifts from them. He knew how to see the
Marvels of the Universe for less than thirty Altairan dollars a day.","Ford Prefect typically behaved at university parties by gatecrashing them, getting badly drunk, and making fun of astrophysicists until he got thrown out."
82,Why did Ford Prefect often stare into the sky as if hypnotized?,"12 CHAPTER 1.
By a curious coincidence, None at all is exactly how much suspicion the ape-
descendant Arthur Dent had that one of his closest friends was not descended
from an ape, but was in fact from a small planet in the vicinity of Betelgeuse
and not from Guildford as he usually claimed.
Arthur Dent had never, ever suspected this.
This friend of his had ﬁrst arrived on the planet some ﬁfteen Earth years
previously, and he had worked hard to blend himself into Earth society - with,
it must be said, some success. For instance he had spent those ﬁfteen years
pretending to be an out of work actor, which was plausible enough.
He had made one careless blunder though, because he had skimped a bit
on his preparatory research. The information he had gathered had led him to
choose the name ”Ford Prefect” as being nicely inconspicuous.
He was not conspicuously tall, his features were striking but not conspicu-
ously handsome. His hair was wiry and gingerish and brushed backwards from
the temples. His skin seemed to be pulled backwards from the nose. There
was something very slightly odd about him, but it was diﬃcult to say what
it was. Perhaps it was that his eyes didn’t blink often enough and when you
talked to him for any length of time your eyes began involuntarily to water on
his behalf. Perhaps it was that he smiled slightly too broadly and gave people
the unnerving impression that he was about to go for their neck.
He struck most of the friends he had made on Earth as an eccentric, but
a harmless one - an unruly boozer with some oddish habits. For instance he
would often gatecrash university parties, get badly drunk and start making fun
of any astrophysicist he could ﬁnd till he got thrown out.
Sometimes he would get seized with oddly distracted moods and stare into
the sky as if hypnotized until someone asked him what he was doing. Then he
would start guiltily for a moment, relax and grin.
- Oh, just looking for ﬂying saucers, - he would joke and everyone would
laugh and ask him what sort of ﬂying saucers he was looking for.
- Green ones! - he would reply with a wicked grin, laugh wildly for a moment
and then suddenly lunge for the nearest bar and buy an enormous round of
drinks.
Evenings like this usually ended badly. Ford would get out of his skull on
whisky, huddle into a corner with some girl and explain to her in slurred phrases
that honestly the colour of the ﬂying saucers didn’t matter that much really.
Thereafter, staggering semi-paralytic down the night streets he would often
ask passing policemen if they knew the way to Betelgeuse. The policemen would
usually say something like:
- Don’t you think it’s about time you went oﬀ home sir?
- I’m trying to baby, I’m trying to, - is what Ford invariably replied on these
occasions.
In fact what he was really looking out for when he stared distractedly into
the night sky was any kind of ﬂying saucer at all. The reason he said green was
that green was the traditional space livery of the Betelgeuse trading scouts.
Ford Prefect was desperate that any ﬂying saucer at all would arrive soon
because ﬁfteen years was a long time to get stranded anywhere, particularly
somewhere as mindboggingly dull as the Earth.
Ford wished that a ﬂying saucer would arrive soon because he knew how
to ﬂag ﬂying saucers down and get lifts from them. He knew how to see the
Marvels of the Universe for less than thirty Altairan dollars a day.","Ford Prefect often stared into the sky as if hypnotized because he was looking for any kind of flying saucer, particularly ones with green space livery, as he was desperate to flag one down and get a lift off Earth."
